start_station_name,member_casual,number_of_rides
Clark St & Elm St,member,23607
Clark St & Elmdale Ave,casual,1365
Clark St & Elmdale Ave,member,2605
Clark St & Grace St,casual,6756
Clark St & Grace St,member,8045
Clark St & Ida B Wells Dr,casual,2191
Clark St & Ida B Wells Dr,member,4462
Clark St & Jarvis Ave,casual,355
Clark St & Jarvis Ave,member,903
Clark St & Lake St,casual,6055
Clark St & Lake St,member,10480
Clark St & Leland Ave,casual,3712
Clark St & Leland Ave,member,6761
Clark St & Lincoln Ave,casual,13787
Clark St & Lincoln Ave,member,14729
Clark St & Lunt Ave,casual,1462
Clark St & Lunt Ave,member,2335
Clark St & Montrose Ave,casual,3028
Clark St & Montrose Ave,member,4494
Clark St & Newport St,casual,12737
Clark St & Newport St,member,12596
Clark St & North Ave,casual,6488
Clark St & North Ave,member,6846
Clark St & Randolph St,casual,4874
Clark St & Randolph St,member,10644
Clark St & Schiller St,casual,7952
Clark St & Schiller St,member,12409
Clark St & Schreiber Ave,casual,1263
Clark St & Schreiber Ave,member,2322
Clark St & Touhy Ave,casual,423
Clark St & Touhy Ave,member,615
Clark St & Wellington Ave,casual,7681
Clark St & Wellington Ave,member,10588
Clark St & Winnemac Ave,casual,6501
Clark St & Winnemac Ave,member,10167
Clark St & Wrightwood Ave,casual,10988
Clark St & Wrightwood Ave,member,16465
Clifton Ave & Armitage Ave,casual,4077
Clifton Ave & Armitage Ave,member,6690
Clinton St & 18th St,casual,1392
Clinton St & 18th St,member,2019
Clinton St & Jackson Blvd,casual,4917
Clinton St & Jackson Blvd,member,14873
Clinton St & Lake St,casual,5543
Clinton St & Lake St,member,13659
Clinton St & Madison St,casual,7649
Clinton St & Madison St,member,19634
Clinton St & Polk St,casual,471
Clinton St & Polk St,member,729
Clinton St & Roosevelt Rd,casual,3162
Clinton St & Roosevelt Rd,member,5755
Clinton St & Tilden St,casual,1408
Clinton St & Tilden St,member,3192
Clinton St & Washington Blvd,casual,6556
Clinton St & Washington Blvd,member,21701
Clybourn Ave & Division St,casual,2337
Clybourn Ave & Division St,member,5784
Clyde Ave & 87th St,casual,94
Clyde Ave & 87th St,member,28
Colfax Ave & 83rd St,casual,3
Colfax Ave & 83rd St,member,2
Columbus Dr & Randolph St,casual,7292
Columbus Dr & Randolph St,member,11664
Commercial Ave & 100th St,casual,48
Commercial Ave & 100th St,member,25
